"Statistic Label","CensusYear","Sex","Single Year of Age","Administrative Counties","UNIT","VALUE"
"Population","2022","Both sexes","18 years","Galway City Council","Number","1033"
"Population","2022","Both sexes","18 years","Galway County Council","Number","2546"
"Population","2022","Both sexes","18 years","Leitrim County Council","Number","449"
"Population","2022","Both sexes","18 years","Mayo  County Council","Number","1749"
"Population","2022","Both sexes","18 years","Roscommon County Council","Number","899"
"Population","2022","Both sexes","18 years","Sligo County Council","Number","897"
"Population","2022","Both sexes","18 years","Cavan County Council","Number","1107"
"Population","2022","Both sexes","18 years","Donegal County Council","Number","2285"
"Population","2022","Both sexes","18 years","Monaghan County Council","Number","799"
"Population","2022","Both sexes","19 years","Ireland","Number","64596"
"Population","2022","Both sexes","19 years","Carlow County Council","Number","827"
"Population","2022","Both sexes","19 years","Dublin City Council","Number","7345"
"Population","2022","Both sexes","19 years","Dún Laoghaire Rathdown County Council","Number","3236"
"Population","2022","Both sexes","19 years","Fingal County Council","Number","4358"
"Population","2022","Both sexes","19 years","South Dublin County Council","Number","3952"
"Population","2022","Both sexes","19 years","Kildare County Council","Number","3490"
"Population","2022","Both sexes","19 years","Kilkenny County Council","Number","1125"
"Population","2022","Both sexes","19 years","Laois County Council","Number","1130"
"Population","2022","Both sexes","19 years","Longford County Council","Number","563"
"Population","2022","Both sexes","19 years","Louth County Council","Number","1770"
"Population","2022","Both sexes","19 years","Meath County Council","Number","2892"
"Population","2022","Both sexes","19 years","Offaly County Council","Number","1018"
"Population","2022","Both sexes","19 years","Westmeath County Council","Number","1117"
"Population","2022","Both sexes","19 years","Wexford County Council","Number","1813"
"Population","2022","Both sexes","19 years","Wicklow County Council","Number","1865"
"Population","2022","Both sexes","19 years","Clare County Council","Number","1650"
"Population","2022","Both sexes","19 years","Cork City Council","Number","3405"
"Population","2022","Both sexes","19 years","Cork County Council","Number","4230"
"Population","2022","Both sexes","19 years","Kerry County Council","Number","1678"
"Population","2022","Both sexes","19 years","Limerick City & County Council","Number","2889"
"Population","2022","Both sexes","19 years","Tipperary County Council","Number","1776"
"Population","2022","Both sexes","19 years","Waterford City & County Council","Number","1593"
"Population","2022","Both sexes","19 years","Galway City Council","Number","1764"
"Population","2022","Both sexes","19 years","Galway County Council","Number","2251"
"Population","2022","Both sexes","19 years","Leitrim County Council","Number","329"
"Population","2022","Both sexes","19 years","Mayo  County Council","Number","1418"
"Population","2022","Both sexes","19 years","Roscommon County Council","Number","728"
"Population","2022","Both sexes","19 years","Sligo County Council","Number","922"
"Population","2022","Both sexes","19 years","Cavan County Council","Number","915"
"Population","2022","Both sexes","19 years","Donegal County Council","Number","1813"
"Population","2022","Both sexes","19 years","Monaghan County Council","Number","734"
"Population","2022","Both sexes","20 years","Ireland","Number","63744"
"Population","2022","Both sexes","20 years","Carlow County Council","Number","810"
"Population","2022","Both sexes","20 years","Dublin City Council","Number","8103"
"Population","2022","Both sexes","20 years","Dún Laoghaire Rathdown County Council","Number","3277"
"Population","2022","Both sexes","20 years","Fingal County Council","Number","4153"
"Population","2022","Both sexes","20 years","South Dublin County Council","Number","3700"
"Population","2022","Both sexes","20 years","Kildare County Council","Number","3333"
"Population","2022","Both sexes","20 years","Kilkenny County Council","Number","1089"
"Population","2022","Both sexes","20 years","Laois County Council","Number","1047"
"Population","2022","Both sexes","20 years","Longford County Council","Number","561"
"Population","2022","Both sexes","20 years","Louth County Council","Number","1917"
"Population","2022","Both sexes","20 years","Meath County Council","Number","2730"
"Population","2022","Both sexes","20 years","Offaly County Council","Number","991"
"Population","2022","Both sexes","20 years","Westmeath County Council","Number","1105"
"Population","2022","Both sexes","20 years","Wexford County Council","Number","1764"
"Population","2022","Both sexes","20 years","Wicklow County Council","Number","1716"
"Population","2022","Both sexes","20 years","Clare County Council","Number","1567"
"Population","2022","Both sexes","20 years","Cork City Council","Number","3541"
"Population","2022","Both sexes","20 years","Cork County Council","Number","3787"
"Population","2022","Both sexes","20 years","Kerry County Council","Number","1630"
"Population","2022","Both sexes","20 years","Limerick City & County Council","Number","2932"
"Population","2022","Both sexes","20 years","Tipperary County Council","Number","1823"
"Population","2022","Both sexes","20 years","Waterford City & County Council","Number","1564"
"Population","2022","Both sexes","20 years","Galway City Council","Number","2024"
"Population","2022","Both sexes","20 years","Galway County Council","Number","2052"
"Population","2022","Both sexes","20 years","Leitrim County Council","Number","344"
"Population","2022","Both sexes","20 years","Mayo  County Council","Number","1310"
"Population","2022","Both sexes","20 years","Roscommon County Council","Number","696"
"Population","2022","Both sexes","20 years","Sligo County Council","Number","877"
"Population","2022","Both sexes","20 years","Cavan County Council","Number","843"
"Population","2022","Both sexes","20 years","Donegal County Council","Number","1805"
"Population","2022","Both sexes","20 years","Monaghan County Council","Number","653"
"Population","2022","Both sexes","21 years","Ireland","Number","60661"
"Population","2022","Both sexes","21 years","Carlow County Council","Number","813"
"Population","2022","Both sexes","21 years","Dublin City Council","Number","8140"
"Population","2022","Both sexes","21 years","Dún Laoghaire Rathdown County Council","Number","3085"
"Population","2022","Both sexes","21 years","Fingal County Council","Number","3792"
"Population","2022","Both sexes","21 years","South Dublin County Council","Number","3683"
"Population","2022","Both sexes","21 years","Kildare County Council","Number","3050"
"Population","2022","Both sexes","21 years","Kilkenny County Council","Number","1045"
"Population","2022","Both sexes","21 years","Laois County Council","Number","1025"
"Population","2022","Both sexes","21 years","Longford County Council","Number","507"
"Population","2022","Both sexes","21 years","Louth County Council","Number","1711"
"Population","2022","Both sexes","21 years","Meath County Council","Number","2546"
"Population","2022","Both sexes","21 years","Offaly County Council","Number","882"
"Population","2022","Both sexes","21 years","Westmeath County Council","Number","1097"
"Population","2022","Both sexes","21 years","Wexford County Council","Number","1582"
"Population","2022","Both sexes","21 years","Wicklow County Council","Number","1623"
"Population","2022","Both sexes","21 years","Clare County Council","Number","1352"
"Population","2022","Both sexes","21 years","Cork City Council","Number","3518"
"Population","2022","Both sexes","21 years","Cork County Council","Number","3571"
"Population","2022","Both sexes","21 years","Kerry County Council","Number","1518"
"Population","2022","Both sexes","21 years","Limerick City & County Council","Number","2657"
"Population","2022","Both sexes","21 years","Tipperary County Council","Number","1755"
"Population","2022","Both sexes","21 years","Waterford City & County Council","Number","1481"
"Population","2022","Both sexes","21 years","Galway City Council","Number","2084"
"Population","2022","Both sexes","21 years","Galway County Council","Number","1850"
"Population","2022","Both sexes","21 years","Leitrim County Council","Number","277"
"Population","2022","Both sexes","21 years","Mayo  County Council","Number","1263"
"Population","2022","Both sexes","21 years","Roscommon County Council","Number","688"
"Population","2022","Both sexes","21 years","Sligo County Council","Number","858"
"Population","2022","Both sexes","21 years","Cavan County Council","Number","832"
"Population","2022","Both sexes","21 years","Donegal County Council","Number","1708"
"Population","2022","Both sexes","21 years","Monaghan County Council","Number","668"
"Population","2022","Both sexes","22 years","Ireland","Number","62218"
"Population","2022","Both sexes","22 years","Carlow County Council","Number","769"
"Population","2022","Both sexes","22 years","Dublin City Council","Number","9091"
"Population","2022","Both sexes","22 years","Dún Laoghaire Rathdown County Council","Number","3242"
"Population","2022","Both sexes","22 years","Fingal County Council","Number","3827"
"Population","2022","Both sexes","22 years","South Dublin County Council","Number","3724"
"Population","2022","Both sexes","22 years","Kildare County Council","Number","2890"
"Population","2022","Both sexes","22 years","Kilkenny County Council","Number","993"
"Population","2022","Both sexes","22 years","Laois County Council","Number","994"
"Population","2022","Both sexes","22 years","Longford County Council","Number","516"
"Population","2022","Both sexes","22 years","Louth County Council","Number","1718"
"Population","2022","Both sexes","22 years","Meath County Council","Number","2430"
"Population","2022","Both sexes","22 years","Offaly County Council","Number","915"
"Population","2022","Both sexes","22 years","Westmeath County Council","Number","1103"
"Population","2022","Both sexes","22 years","Wexford County Council","Number","1766"
"Population","2022","Both sexes","22 years","Wicklow County Council","Number","1659"
"Population","2022","Both sexes","22 years","Clare County Council","Number","1503"
"Population","2022","Both sexes","22 years","Cork City Council","Number","3677"
"Population","2022","Both sexes","22 years","Cork County Council","Number","3552"
"Population","2022","Both sexes","22 years","Kerry County Council","Number","1556"
"Population","2022","Both sexes","22 years","Limerick City & County Council","Number","2951"
"Population","2022","Both sexes","22 years","Tipperary County Council","Number","1782"
"Population","2022","Both sexes","22 years","Waterford City & County Council","Number","1471"
"Population","2022","Both sexes","22 years","Galway City Council","Number","1964"
"Population","2022","Both sexes","22 years","Galway County Council","Number","1776"
"Population","2022","Both sexes","22 years","Leitrim County Council","Number","322"
"Population","2022","Both sexes","22 years","Mayo  County Council","Number","1294"
"Population","2022","Both sexes","22 years","Roscommon County Council","Number","665"
"Population","2022","Both sexes","22 years","Sligo County Council","Number","815"
"Population","2022","Both sexes","22 years","Cavan County Council","Number","855"
"Population","2022","Both sexes","22 years","Donegal County Council","Number","1731"
"Population","2022","Both sexes","22 years","Monaghan County Council","Number","667"
"Population","2022","Both sexes","23 years","Ireland","Number","60922"
"Population","2022","Both sexes","23 years","Carlow County Council","Number","720"
"Population","2022","Both sexes","23 years","Dublin City Council","Number","9981"
"Population","2022","Both sexes","23 years","Dún Laoghaire Rathdown County Council","Number","3247"
"Population","2022","Both sexes","23 years","Fingal County Council","Number","3733"
"Population","2022","Both sexes","23 years","South Dublin County Council","Number","3783"
"Population","2022","Both sexes","23 years","Kildare County Council","Number","2860"
"Population","2022","Both sexes","23 years","Kilkenny County Council","Number","994"
"Population","2022","Both sexes","23 years","Laois County Council","Number","961"
"Population","2022","Both sexes","23 years","Longford County Council","Number","498"
"Population","2022","Both sexes","23 years","Louth County Council","Number","1579"
"Population","2022","Both sexes","23 years","Meath County Council","Number","2320"
"Population","2022","Both sexes","23 years","Offaly County Council","Number","894"
"Population","2022","Both sexes","23 years","Westmeath County Council","Number","1052"
"Population","2022","Both sexes","23 years","Wexford County Council","Number","1722"
"Population","2022","Both sexes","23 years","Wicklow County Council","Number","1535"
"Population","2022","Both sexes","23 years","Clare County Council","Number","1281"
"Population","2022","Both sexes","23 years","Cork City Council","Number","3500"
"Population","2022","Both sexes","23 years","Cork County Council","Number","3388"
"Population","2022","Both sexes","23 years","Kerry County Council","Number","1597"
"Population","2022","Both sexes","23 years","Limerick City & County Council","Number","2597"
"Population","2022","Both sexes","23 years","Tipperary County Council","Number","1696"
"Population","2022","Both sexes","23 years","Waterford City & County Council","Number","1462"
"Population","2022","Both sexes","23 years","Galway City Council","Number","1722"
"Population","2022","Both sexes","23 years","Galway County Council","Number","1726"
"Population","2022","Both sexes","23 years","Leitrim County Council","Number","329"
"Population","2022","Both sexes","23 years","Mayo  County Council","Number","1242"
"Population","2022","Both sexes","23 years","Roscommon County Council","Number","643"
"Population","2022","Both sexes","23 years","Sligo County Council","Number","752"
"Population","2022","Both sexes","23 years","Cavan County Council","Number","875"
"Population","2022","Both sexes","23 years","Donegal County Council","Number","1571"
"Population","2022","Both sexes","23 years","Monaghan County Council","Number","662"
"Population","2022","Both sexes","24 years","Ireland","Number","59598"
"Population","2022","Both sexes","24 years","Carlow County Council","Number","669"
"Population","2022","Both sexes","24 years","Dublin City Council","Number","10592"
"Population","2022","Both sexes","24 years","Dún Laoghaire Rathdown County Council","Number","3169"
"Population","2022","Both sexes","24 years","Fingal County Council","Number","3592"
"Population","2022","Both sexes","24 years","South Dublin County Council","Number","3650"
"Population","2022","Both sexes","24 years","Kildare County Council","Number","2675"
"Population","2022","Both sexes","24 years","Kilkenny County Council","Number","1036"
"Population","2022","Both sexes","24 years","Laois County Council","Number","905"
"Population","2022","Both sexes","24 years","Longford County Council","Number","446"
"Population","2022","Both sexes","24 years","Louth County Council","Number","1469"
"Population","2022","Both sexes","24 years","Meath County Council","Number","2253"
"Population","2022","Both sexes","24 years","Offaly County Council","Number","887"
"Population","2022","Both sexes","24 years","Westmeath County Council","Number","1077"
"Population","2022","Both sexes","24 years","Wexford County Council","Number","1595"
"Population","2022","Both sexes","24 years","Wicklow County Council","Number","1408"
"Population","2022","Both sexes","24 years","Clare County Council","Number","1255"
"Population","2022","Both sexes","24 years","Cork City Council","Number","3417"
"Population","2022","Both sexes","24 years","Cork County Council","Number","3263"
"Population","2022","Both sexes","24 years","Kerry County Council","Number","1482"
"Population","2022","Both sexes","24 years","Limerick City & County Council","Number","2545"
"Population","2022","Both sexes","24 years","Tipperary County Council","Number","1709"
"Population","2022","Both sexes","24 years","Waterford City & County Council","Number","1349"
"Population","2022","Both sexes","24 years","Galway City Council","Number","1727"
"Population","2022","Both sexes","24 years","Galway County Council","Number","1651"
"Population","2022","Both sexes","24 years","Leitrim County Council","Number","272"
"Population","2022","Both sexes","24 years","Mayo  County Council","Number","1159"
"Population","2022","Both sexes","24 years","Roscommon County Council","Number","561"
"Population","2022","Both sexes","24 years","Sligo County Council","Number","737"
"Population","2022","Both sexes","24 years","Cavan County Council","Number","827"
"Population","2022","Both sexes","24 years","Donegal County Council","Number","1557"
"Population","2022","Both sexes","24 years","Monaghan County Council","Number","664"
"Population","2022","Both sexes","25 years","Ireland","Number","59263"
"Population","2022","Both sexes","25 years","Carlow County Council","Number","625"
"Population","2022","Both sexes","25 years","Dublin City Council","Number","11301"
"Population","2022","Both sexes","25 years","Dún Laoghaire Rathdown County Council","Number","3110"
"Population","2022","Both sexes","25 years","Fingal County Council","Number","3627"
"Population","2022","Both sexes","25 years","South Dublin County Council","Number","3634"
"Population","2022","Both sexes","25 years","Kildare County Council","Number","2651"
"Population","2022","Both sexes","25 years","Kilkenny County Council","Number","1002"
"Population","2022","Both sexes","25 years","Laois County Council","Number","851"
"Population","2022","Both sexes","25 years","Longford County Council","Number","441"
"Population","2022","Both sexes","25 years","Louth County Council","Number","1415"
"Population","2022","Both sexes","25 years","Meath County Council","Number","2042"
"Population","2022","Both sexes","25 years","Offaly County Council","Number","854"
"Population","2022","Both sexes","25 years","Westmeath County Council","Number","1041"
"Population","2022","Both sexes","25 years","Wexford County Council","Number","1537"
"Population","2022","Both sexes","25 years","Wicklow County Council","Number","1345"
"Population","2022","Both sexes","25 years","Clare County Council","Number","1258"
"Population","2022","Both sexes","25 years","Cork City Council","Number","3512"
"Population","2022","Both sexes","25 years","Cork County Council","Number","3092"
"Population","2022","Both sexes","25 years","Kerry County Council","Number","1480"
"Population","2022","Both sexes","25 years","Limerick City & County Council","Number","2626"
"Population","2022","Both sexes","25 years","Tipperary County Council","Number","1622"
"Population","2022","Both sexes","25 years","Waterford City & County Council","Number","1267"
"Population","2022","Both sexes","25 years","Galway City Council","Number","1651"
"Population","2022","Both sexes","25 years","Galway County Council","Number","1620"
"Population","2022","Both sexes","25 years","Leitrim County Council","Number","286"
"Population","2022","Both sexes","25 years","Mayo  County Council","Number","1136"
"Population","2022","Both sexes","25 years","Roscommon County Council","Number","612"
"Population","2022","Both sexes","25 years","Sligo County Council","Number","710"
"Population","2022","Both sexes","25 years","Cavan County Council","Number","841"
"Population","2022","Both sexes","25 years","Donegal County Council","Number","1476"
"Population","2022","Both sexes","25 years","Monaghan County Council","Number","598"
"Population","2022","Both sexes","26 years","Ireland","Number","58240"
"Population","2022","Both sexes","26 years","Carlow County Council","Number","663"
"Population","2022","Both sexes","26 years","Dublin City Council","Number","11664"
"Population","2022","Both sexes","26 years","Dún Laoghaire Rathdown County Council","Number","3065"
"Population","2022","Both sexes","26 years","Fingal County Council","Number","3581"
"Population","2022","Both sexes","26 years","South Dublin County Council","Number","3394"
"Population","2022","Both sexes","26 years","Kildare County Council","Number","2443"
"Population","2022","Both sexes","26 years","Kilkenny County Council","Number","966"
"Population","2022","Both sexes","26 years","Laois County Council","Number","892"
"Population","2022","Both sexes","26 years","Longford County Council","Number","487"
"Population","2022","Both sexes","26 years","Louth County Council","Number","1339"
"Population","2022","Both sexes","26 years","Meath County Council","Number","2007"
"Population","2022","Both sexes","26 years","Offaly County Council","Number","790"
"Population","2022","Both sexes","26 years","Westmeath County Council","Number","1038"
"Population","2022","Both sexes","26 years","Wexford County Council","Number","1580"
"Population","2022","Both sexes","26 years","Wicklow County Council","Number","1380"
"Population","2022","Both sexes","26 years","Clare County Council","Number","1179"
"Population","2022","Both sexes","26 years","Cork City Council","Number","3390"
"Population","2022","Both sexes","26 years","Cork County Council","Number","3074"
"Population","2022","Both sexes","26 years","Kerry County Council","Number","1368"
"Population","2022","Both sexes","26 years","Limerick City & County Council","Number","2557"
"Population","2022","Both sexes","26 years","Tipperary County Council","Number","1530"
"Population","2022","Both sexes","26 years","Waterford City & County Council","Number","1264"
"Population","2022","Both sexes","26 years","Galway City Council","Number","1522"
"Population","2022","Both sexes","26 years","Galway County Council","Number","1549"
"Population","2022","Both sexes","26 years","Leitrim County Council","Number","282"
"Population","2022","Both sexes","26 years","Mayo  County Council","Number","1128"
"Population","2022","Both sexes","26 years","Roscommon County Council","Number","580"
"Population","2022","Both sexes","26 years","Sligo County Council","Number","629"
"Population","2022","Both sexes","26 years","Cavan County Council","Number","777"
"Population","2022","Both sexes","26 years","Donegal County Council","Number","1507"
"Population","2022","Both sexes","26 years","Monaghan County Council","Number","615"
"Population","2022","Both sexes","27 years","Ireland","Number","58690"
"Population","2022","Both sexes","27 years","Carlow County Council","Number","658"
"Population","2022","Both sexes","27 years","Dublin City Council","Number","11941"
"Population","2022","Both sexes","27 years","Dún Laoghaire Rathdown County Council","Number","2989"
"Population","2022","Both sexes","27 years","Fingal County Council","Number","3641"
"Population","2022","Both sexes","27 years","South Dublin County Council","Number","3538"
"Population","2022","Both sexes","27 years","Kildare County Council","Number","2585"
"Population","2022","Both sexes","27 years","Kilkenny County Council","Number","972"
"Population","2022","Both sexes","27 years","Laois County Council","Number","897"
"Population","2022","Both sexes","27 years","Longford County Council","Number","462"
"Population","2022","Both sexes","27 years","Louth County Council","Number","1462"
"Population","2022","Both sexes","27 years","Meath County Council","Number","2037"
"Population","2022","Both sexes","27 years","Offaly County Council","Number","822"
"Population","2022","Both sexes","27 years","Westmeath County Council","Number","1029"
"Population","2022","Both sexes","27 years","Wexford County Council","Number","1582"
"Population","2022","Both sexes","27 years","Wicklow County Council","Number","1400"
"Population","2022","Both sexes","27 years","Clare County Council","Number","1180"
"Population","2022","Both sexes","27 years","Cork City Council","Number","3461"
"Population","2022","Both sexes","27 years","Cork County Council","Number","3045"
"Population","2022","Both sexes","27 years","Kerry County Council","Number","1411"
"Population","2022","Both sexes","27 years","Limerick City & County Council","Number","2467"
"Population","2022","Both sexes","27 years","Tipperary County Council","Number","1547"
"Population","2022","Both sexes","27 years","Waterford City & County Council","Number","1304"
"Population","2022","Both sexes","27 years","Galway City Council","Number","1435"
"Population","2022","Both sexes","27 years","Galway County Council","Number","1405"
"Population","2022","Both sexes","27 years","Leitrim County Council","Number","275"
"Population","2022","Both sexes","27 years","Mayo  County Council","Number","1115"
"Population","2022","Both sexes","27 years","Roscommon County Council","Number","568"
"Population","2022","Both sexes","27 years","Sligo County Council","Number","631"
"Population","2022","Both sexes","27 years","Cavan County Council","Number","750"
"Population","2022","Both sexes","27 years","Donegal County Council","Number","1442"
"Population","2022","Both sexes","27 years","Monaghan County Council","Number","639"
"Population","2022","Both sexes","28 years","Ireland","Number","58690"
"Population","2022","Both sexes","28 years","Carlow County Council","Number","633"
"Population","2022","Both sexes","28 years","Dublin City Council","Number","12020"
"Population","2022","Both sexes","28 years","Dún Laoghaire Rathdown County Council","Number","2869"
"Population","2022","Both sexes","28 years","Fingal County Council","Number","3597"
"Population","2022","Both sexes","28 years","South Dublin County Council","Number","3546"
"Population","2022","Both sexes","28 years","Kildare County Council","Number","2558"
"Population","2022","Both sexes","28 years","Kilkenny County Council","Number","1016"
"Population","2022","Both sexes","28 years","Laois County Council","Number","871"
"Population","2022","Both sexes","28 years","Longford County Council","Number","442"
"Population","2022","Both sexes","28 years","Louth County Council","Number","1498"
"Population","2022","Both sexes","28 years","Meath County Council","Number","2096"
"Population","2022","Both sexes","28 years","Offaly County Council","Number","829"
"Population","2022","Both sexes","28 years","Westmeath County Council","Number","972"
"Population","2022","Both sexes","28 years","Wexford County Council","Number","1537"
"Population","2022","Both sexes","28 years","Wicklow County Council","Number","1443"
"Population","2022","Both sexes","28 years","Clare County Council","Number","1187"
"Population","2022","Both sexes","28 years","Cork City Council","Number","3461"
"Population","2022","Both sexes","28 years","Cork County Council","Number","3066"
"Population","2022","Both sexes","28 years","Kerry County Council","Number","1345"
"Population","2022","Both sexes","28 years","Limerick City & County Council","Number","2373"
"Population","2022","Both sexes","28 years","Tipperary County Council","Number","1576"
"Population","2022","Both sexes","28 years","Waterford City & County Council","Number","1262"
"Population","2022","Both sexes","28 years","Galway City Council","Number","1458"
"Population","2022","Both sexes","28 years","Galway County Council","Number","1554"
"Population","2022","Both sexes","28 years","Leitrim County Council","Number","291"
"Population","2022","Both sexes","28 years","Mayo  County Council","Number","1180"
"Population","2022","Both sexes","28 years","Roscommon County Council","Number","580"
"Population","2022","Both sexes","28 years","Sligo County Council","Number","615"
"Population","2022","Both sexes","28 years","Cavan County Council","Number","752"
"Population","2022","Both sexes","28 years","Donegal County Council","Number","1475"
"Population","2022","Both sexes","28 years","Monaghan County Council","Number","588"
"Population","2022","Both sexes","29 years","Ireland","Number","60925"
"Population","2022","Both sexes","29 years","Carlow County Council","Number","713"
"Population","2022","Both sexes","29 years","Dublin City Council","Number","12132"
"Population","2022","Both sexes","29 years","Dún Laoghaire Rathdown County Council","Number","2897"
"Population","2022","Both sexes","29 years","Fingal County Council","Number","3797"
"Population","2022","Both sexes","29 years","South Dublin County Council","Number","3636"
"Population","2022","Both sexes","29 years","Kildare County Council","Number","2715"
"Population","2022","Both sexes","29 years","Kilkenny County Council","Number","1089"
"Population","2022","Both sexes","29 years","Laois County Council","Number","901"
"Population","2022","Both sexes","29 years","Longford County Council","Number","461"
"Population","2022","Both sexes","29 years","Louth County Council","Number","1505"
"Population","2022","Both sexes","29 years","Meath County Council","Number","2169"
"Population","2022","Both sexes","29 years","Offaly County Council","Number","842"
"Population","2022","Both sexes","29 years","Westmeath County Council","Number","1095"
"Population","2022","Both sexes","29 years","Wexford County Council","Number","1629"
"Population","2022","Both sexes","29 years","Wicklow County Council","Number","1499"
"Population","2022","Both sexes","29 years","Clare County Council","Number","1188"
"Population","2022","Both sexes","29 years","Cork City Council","Number","3467"
"Population","2022","Both sexes","29 years","Cork County Council","Number","3242"
"Population","2022","Both sexes","29 years","Kerry County Council","Number","1443"
"Population","2022","Both sexes","29 years","Limerick City & County Council","Number","2490"
"Population","2022","Both sexes","29 years","Tipperary County Council","Number","1620"
"Population","2022","Both sexes","29 years","Waterford City & County Council","Number","1320"
"Population","2022","Both sexes","29 years","Galway City Council","Number","1468"
"Population","2022","Both sexes","29 years","Galway County Council","Number","1712"
"Population","2022","Both sexes","29 years","Leitrim County Council","Number","301"
"Population","2022","Both sexes","29 years","Mayo  County Council","Number","1257"
"Population","2022","Both sexes","29 years","Roscommon County Council","Number","629"
"Population","2022","Both sexes","29 years","Sligo County Council","Number","707"
"Population","2022","Both sexes","29 years","Cavan County Council","Number","791"
"Population","2022","Both sexes","29 years","Donegal County Council","Number","1536"
"Population","2022","Both sexes","29 years","Monaghan County Council","Number","674"
"Population","2022","Both sexes","30 years","Ireland","Number","63699"
"Population","2022","Both sexes","30 years","Carlow County Council","Number","705"
"Population","2022","Both sexes","30 years","Dublin City Council","Number","12341"
"Population","2022","Both sexes","30 years","Dún Laoghaire Rathdown County Council","Number","3112"
"Population","2022","Both sexes","30 years","Fingal County Council","Number","3976"
"Population","2022","Both sexes","30 years","South Dublin County Council","Number","3821"
"Population","2022","Both sexes","30 years","Kildare County Council","Number","2860"
"Population","2022","Both sexes","30 years","Kilkenny County Council","Number","1065"
"Population","2022","Both sexes","30 years","Laois County Council","Number","987"
"Population","2022","Both sexes","30 years","Longford County Council","Number","550"
"Population","2022","Both sexes","30 years","Louth County Council","Number","1570"
"Population","2022","Both sexes","30 years","Meath County Council","Number","2353"
"Population","2022","Both sexes","30 years","Offaly County Council","Number","940"
"Population","2022","Both sexes","30 years","Westmeath County Council","Number","1098"
"Population","2022","Both sexes","30 years","Wexford County Council","Number","1817"
"Population","2022","Both sexes","30 years","Wicklow County Council","Number","1525"
"Population","2022","Both sexes","30 years","Clare County Council","Number","1209"
"Population","2022","Both sexes","30 years","Cork City Council","Number","3437"
"Population","2022","Both sexes","30 years","Cork County Council","Number","3545"
"Population","2022","Both sexes","30 years","Kerry County Council","Number","1591"
"Population","2022","Both sexes","30 years","Limerick City & County Council","Number","2515"
"Population","2022","Both sexes","30 years","Tipperary County Council","Number","1744"
"Population","2022","Both sexes","30 years","Waterford City & County Council","Number","1434"
"Population","2022","Both sexes","30 years","Galway City Council","Number","1402"
"Population","2022","Both sexes","30 years","Galway County Council","Number","1803"
"Population","2022","Both sexes","30 years","Leitrim County Council","Number","336"
"Population","2022","Both sexes","30 years","Mayo  County Council","Number","1353"
"Population","2022","Both sexes","30 years","Roscommon County Council","Number","675"
"Population","2022","Both sexes","30 years","Sligo County Council","Number","668"
"Population","2022","Both sexes","30 years","Cavan County Council","Number","841"
"Population","2022","Both sexes","30 years","Donegal County Council","Number","1694"
"Population","2022","Both sexes","30 years","Monaghan County Council","Number","732"
"Population","2022","Both sexes","31 years","Ireland","Number","65947"
"Population","2022","Both sexes","31 years","Carlow County Council","Number","739"
"Population","2022","Both sexes","31 years","Dublin City Council","Number","12366"
"Population","2022","Both sexes","31 years","Dún Laoghaire Rathdown County Council","Number","3065"
"Population","2022","Both sexes","31 years","Fingal County Council","Number","4241"
"Population","2022","Both sexes","31 years","South Dublin County Council","Number","3963"
"Population","2022","Both sexes","31 years","Kildare County Council","Number","2990"
"Population","2022","Both sexes","31 years","Kilkenny County Council","Number","1213"
"Population","2022","Both sexes","31 years","Laois County Council","Number","1021"
"Population","2022","Both sexes","31 years","Longford County Council","Number","484"
"Population","2022","Both sexes","31 years","Louth County Council","Number","1676"
"Population","2022","Both sexes","31 years","Meath County Council","Number","2583"
"Population","2022","Both sexes","31 years","Offaly County Council","Number","925"
"Population","2022","Both sexes","31 years","Westmeath County Council","Number","1192"
"Population","2022","Both sexes","31 years","Wexford County Council","Number","1859"
"Population","2022","Both sexes","31 years","Wicklow County Council","Number","1673"
"Population","2022","Both sexes","31 years","Clare County Council","Number","1331"
"Population","2022","Both sexes","31 years","Cork City Council","Number","3581"
"Population","2022","Both sexes","31 years","Cork County Council","Number","3695"
"Population","2022","Both sexes","31 years","Kerry County Council","Number","1585"
"Population","2022","Both sexes","31 years","Limerick City & County Council","Number","2522"
"Population","2022","Both sexes","31 years","Tipperary County Council","Number","1775"
"Population","2022","Both sexes","31 years","Waterford City & County Council","Number","1461"
"Population","2022","Both sexes","31 years","Galway City Council","Number","1464"
"Population","2022","Both sexes","31 years","Galway County Council","Number","1930"
"Population","2022","Both sexes","31 years","Leitrim County Council","Number","366"
"Population","2022","Both sexes","31 years","Mayo  County Council","Number","1456"
"Population","2022","Both sexes","31 years","Roscommon County Council","Number","728"
"Population","2022","Both sexes","31 years","Sligo County Council","Number","695"
"Population","2022","Both sexes","31 years","Cavan County Council","Number","907"
"Population","2022","Both sexes","31 years","Donegal County Council","Number","1723"
"Population","2022","Both sexes","31 years","Monaghan County Council","Number","738"
"Population","2022","Both sexes","32 years","Ireland","Number","66795"
"Population","2022","Both sexes","32 years","Carlow County Council","Number","746"
"Population","2022","Both sexes","32 years","Dublin City Council","Number","12044"
"Population","2022","Both sexes","32 years","Dún Laoghaire Rathdown County Council","Number","3165"
"Population","2022","Both sexes","32 years","Fingal County Council","Number","4328"
"Population","2022","Both sexes","32 years","South Dublin County Council","Number","4048"
"Population","2022","Both sexes","32 years","Kildare County Council","Number","3013"
"Population","2022","Both sexes","32 years","Kilkenny County Council","Number","1150"
"Population","2022","Both sexes","32 years","Laois County Council","Number","1089"
